Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1YEw6iUZurigCZgtg91VKu,"Habits (Stay High) - Oliver Nelson Remix","Habits (Stay High) [Oliver Nelson Remix]","Tove Lo;Oliver Nelson",2014-03-03,252093,39,false,heatstreak1606,2022-04-09T21:10:33Z,"nu disco","Universal Music AB",0.784,0.789,0,-4.209,0,0.0634,0.0388,0.00697,0.0977,0.478,115.997,4
spotify:track:2V65y3PX4DkRhy1djlxd9p,"Don't You Worry Child - Radio Edit","Don't You Worry Child","Swedish House Mafia;John Martin",2012-09-14,212862,81,false,heatstreak1606,2022-12-21T06:08:01Z,"edm","Pophouse Entertainment Group",0.612,0.84,11,-3.145,0,0.0509,0.112,0,0.116,0.438,129.042,4
spotify:track:0Mv9j2crO9dyKcpG5vriiE,"My Type - SAINT WKND Remix","My Type (Remixes)","Saint Motel;SAINT WKND",2015-06-30,235408,27,false,heatstreak1606,2022-04-19T18:52:34Z,"tropical house,lo-fi beats","Elektra (NEK)",0.536,0.563,0,-8.208,0,0.127,0.0202,0.0000553,0.208,0.216,124.088,4
spotify:track:5PX4uS1LqlWEPL69phPVQQ,"Pursuit Of Happiness - Extended Steve Aoki Remix","Pursuit Of Happiness [Extended Steve Aoki Remix (Explicit)]","Kid Cudi;MGMT;Ratatat;Steve Aoki",2012-01-01,373626,73,true,heatstreak1606,2022-04-26T13:00:56Z,"indie,electro house,edm","Kid Cudi/Universal Records",0.722,0.687,0,-5.189,1,0.0556,0.00949,0.00413,0.0462,0.619,128.013,4
spotify:track:3kcKlOkQQEPVwxwljbGJ5p,"Kernkraft 400 (A Better Day)","Kernkraft 400 (A Better Day)","Topic;A7S",2022-06-17,165800,62,false,heatstreak1606,2023-02-12T04:28:38Z,"","Virgin",0.623,0.727,11,-5.57,0,0.0562,0.184,0.0000202,0.309,0.4,125.975,4
spotify:track:7FjZU7XFs7P9jHI9Z0yRhK,"So Close","So Close (feat. Georgia Ku)","NOTD;Felix Jaehn;Captain Cuts;Georgia Ku",2018-11-02,190302,64,false,heatstreak1606,2023-04-03T03:16:04Z,"tropical house","Universal Music AB",0.7,0.872,10,-5.896,1,0.0666,0.121,0.00000708,0.103,0.761,125.03,4
spotify:track:09IStsImFySgyp0pIQdqAc,"The Middle","The Middle","Zedd;Maren Morris;Grey",2018-01-23,184732,77,false,heatstreak1606,2023-11-13T21:21:37Z,"edm,country","UMGRI Interscope",0.753,0.657,7,-3.061,1,0.0449,0.171,0,0.112,0.437,107.01,4
spotify:track:6uBhi9gBXWjanegOb2Phh0,"Stay","Stay","Zedd;Alessia Cara",2017-02-23,210090,76,false,heatstreak1606,2023-11-13T21:21:41Z,"edm","UMGRI Interscope",0.69,0.622,5,-5.025,0,0.0622,0.253,0,0.116,0.544,102.04,4
spotify:track:60wwxj6Dd9NJlirf84wr2c,"Clarity","Clarity","Zedd;Foxes",2012-01-01,271426,78,false,heatstreak1606,2023-11-13T21:21:44Z,"edm","Interscope",0.509,0.781,8,-3.48,1,0.072,0.0398,0,0.0749,0.176,128,4
spotify:track:408G7co3LC8uM5pMTldO4X,"Scared to Be Lonely - Loud Luxury Remix","Scared To Be Lonely Remixes Vol. 2","Martin Garrix;Dua Lipa;Loud Luxury",2017-03-24,207884,37,false,heatstreak1606,2023-11-14T19:04:01Z,"edm,progressive house,electronica,pop","Epic Amsterdam",0.731,0.67,1,-6.78,0,0.0487,0.0172,0.00101,0.171,0.29,127.076,4
spotify:track:7MmG8p0F9N3C4AXdK6o6Eb,"Outside (feat. Ellie Goulding)","Motion","Calvin Harris;Ellie Goulding",2014-10-31,227266,85,false,heatstreak1606,2023-11-14T20:09:24Z,"edm","Columbia",0.646,0.823,2,-4.123,0,0.0394,0.213,0,0.322,0.418,128.035,4
spotify:track:2ISSQPb9LHHiV6ng2NXosL,"Beautiful Now","True Colors","Zedd;Jon Bellion",2015-05-15,218293,69,false,heatstreak1606,2023-11-14T20:53:03Z,"edm","Interscope",0.628,0.832,11,-4.126,0,0.0282,0.0079,0.0000146,0.074,0.56,128.003,4
